cost => 3.84 | heu => 9.347213059714283 | fringe_size => 72 | closed => 3 | action => ['S2', "U'", "B'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 6.7686715259999986 | fringe_size => 73 | closed => 3 | action => ['S2', "U'", 'B2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 10.636483826571427 | fringe_size => 74 | closed => 3 | action => ['S2', "U'", 'F'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 10.636483826571427 | fringe_size => 75 | closed => 3 | action => ['S2', "U'", "F'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 8.702577676285712 | fringe_size => 76 | closed => 3 | action => ['S2', "U'", 'F2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.570389976857138 | fringe_size => 77 | closed => 3 | action => ['S2', "U'", 'S'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.570389976857138 | fringe_size => 78 | closed => 3 | action => ['S2', "U'", "S'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.570389976857138 | fringe_size => 79 | closed => 3 | action => ['S2', "U'", 'S2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 5.704056190267712 | fringe_size => 79 | closed => 4 | action => ['S2', "U'", 'B2', 'D'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 7.046187058565998 | fringe_size => 80 | closed => 4 | action => ['S2', "U'", 'B2', "D'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
