cost => 3.84 | heu => 12.892707668571425 | fringe_size => 78 | closed => 3 | action => ["L'", 'B2', "S'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 79 | closed => 3 | action => ["L'", 'B2', 'S2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 79 | closed => 4 | action => ["L'", 'B2', "F'", 'D'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 80 | closed => 4 | action => ["L'", 'B2', "F'", "D'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 81 | closed => 4 | action => ["L'", 'B2', "F'", 'D2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 82 | closed => 4 | action => ["L'", 'B2', "F'", 'E'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 83 | closed => 4 | action => ["L'", 'B2', "F'", "E'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 84 | closed => 4 | action => ["L'", 'B2', "F'", 'E2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 85 | closed => 4 | action => ["L'", 'B2', "F'", 'U'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 86 | closed => 4 | action => ["L'", 'B2', "F'", "U'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 87 | closed => 4 | action => ["L'", 'B2', "F'", 'U2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.065981512237139 | fringe_size => 88 | closed => 4 | action => ["L'", 'B2', "F'", 'L'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.065981512237139 | fringe_size => 89 | closed => 4 | action => ["L'", 'B2', "F'", "L'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.065981512237139 | fringe_size => 90 | closed => 4 | action => ["L'", 'B2', "F'", 'L2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.065981512237139 | fringe_size => 91 | closed => 4 | action => ["L'", 'B2', "F'", 'R'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.065981512237139 | fringe_size => 92 | closed => 4 | action => ["L'", 'B2', "F'", "R'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 10.065981512237139 | fringe_size => 93 | closed => 4 | action => ["L'", 'B2', "F'", 'R2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 0.0 | fringe_size => 94 | closed => 4 | action => ["L'", 'B2', "F'", 'M'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 5.032990756118569 | fringe_size => 95 | closed => 4 | action => ["L'", 'B2', "F'", "M'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 5.032990756118569 | fringe_size => 96 | closed => 4 | action => ["L'", 'B2', "F'", 'M2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 97 | closed => 4 | action => ["L'", 'B2', "F'", 'B'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 98 | closed => 4 | action => ["L'", 'B2', "F'", "B'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 99 | closed => 4 | action => ["L'", 'B2', "F'", 'B2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 100 | closed => 4 | action => ["L'", 'B2', "F'", 'F'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 101 | closed => 4 | action => ["L'", 'B2', "F'", "F'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 102 | closed => 4 | action => ["L'", 'B2', "F'", 'F2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 103 | closed => 4 | action => ["L'", 'B2', "F'", 'S'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 104 | closed => 4 | action => ["L'", 'B2', "F'", "S'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 5.12 | heu => 9.227149719550711 | fringe_size => 105 | closed => 4 | action => ["L'", 'B2', "F'", 'S2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 14.127857142857144 | fringe_size => 1 | closed => 1 | action => ['D'] | start => ['S', "M'", 'D2', "E'"] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 14.127857142857144 | fringe_size => 2 | closed => 1 | action => ["D'"] | start => ['S', "M'", 'D2', "E'"] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 11.153571428571428 | fringe_size => 3 | closed => 1 | action => ['D2'] | start => ['S', "M'", 'D2', "E'"] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 11.153571428571428 | fringe_size => 4 | closed => 1 | action => ['E'] | start => ['S', "M'", 'D2', "E'"] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 14.127857142857144 | fringe_size => 5 | closed => 1 | action => ["E'"] | start => ['S', "M'", 'D2', "E'"] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 13.384285714285713 | fringe_size => 6 | closed => 1 | action => ['E2'] | start => ['S', "M'", 'D2', "E'"] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 17.10214285714286 | fringe_size => 7 | closed => 1 | action => ['U'] | start => ['S', "M'", 'D2', "E'"] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 17.10214285714286 | fringe_size => 8 | closed => 1 | action => ["U'"] | start => ['S', "M'", 'D2', "E'"] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 17.10214285714286 | fringe_size => 9 | closed => 1 | action => ['U2'] | start => ['S', "M'", 'D2', "E'"] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 16.358571428571427 | fringe_size => 10 | closed => 1 | action => ['L'] | start => ['S', "M'", 'D2', "E'"] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
