cost => 3.84 | heu => 12.892707668571425 | fringe_size => 66 | closed => 3 | action => ['M2', 'B2', "R'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 67 | closed => 3 | action => ['M2', 'B2', 'R2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 9.669530751428569 | fringe_size => 68 | closed => 3 | action => ['M2', 'B2', 'M'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 9.669530751428569 | fringe_size => 69 | closed => 3 | action => ['M2', 'B2', "M'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 6.446353834285713 | fringe_size => 70 | closed => 3 | action => ['M2', 'B2', 'M2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.281119209999996 | fringe_size => 71 | closed => 3 | action => ['M2', 'B2', 'B'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.281119209999996 | fringe_size => 72 | closed => 3 | action => ['M2', 'B2', "B'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 9.669530751428569 | fringe_size => 73 | closed => 3 | action => ['M2', 'B2', 'B2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.281119209999996 | fringe_size => 74 | closed => 3 | action => ['M2', 'B2', 'F'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 11.281119209999996 | fringe_size => 75 | closed => 3 | action => ['M2', 'B2', "F'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 9.669530751428569 | fringe_size => 76 | closed => 3 | action => ['M2', 'B2', 'F2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
